Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Monticello Conte Otto;1.588.776;Monticello Conte Otto;4.046.939;439,36;266.87;172,49;2.458.163;2008;9.211
Montorso Vicentino;353.440;Montorso Vicentino;930.702;291,66;180.90;110,76;577.262;2008;3.191
Mossano;356.995;Mossano;734.168;405,39;208.27;197,13;377.173;2008;1.811
Mussolente;904.000;Mussolente;2.474.659;321,8;204.25;117,56;1.570.659;2008;7.690
Nanto;311.580;Nanto;951.844;324,09;218.00;106,09;640.264;2008;2.937
Nogarole Vicentino;110.700;Nogarole Vicentino;288.722;256,64;158.24;98,4;178.022;2008;1.125
Nove;481.120;Nove;1.721.508;343,82;247.73;96,09;1.240.388;2008;5.007
Noventa Vicentina;1.471.340;Noventa Vicentina;4.129.884;467,08;300.67;166,4;2.658.544;2008;8.842
Orgiano;464.785;Orgiano;1.159.871;359,87;215.66;144,21;695.086;2008;3.223
Pedemonte;204.236;Pedemonte;267.212;341,7;80.53;261,17;62.976;2008;782.000
Pianezze;287.133;Pianezze;762.081;368,87;229.89;138,98;474.948;2008;2.066
Piovene Rocchette;938.699;Piovene Rocchette;2.848.153;343,19;230.08;113,11;1.909.454;2008;8.299
Poiana Maggiore;550.960;Poiana Maggiore;1.408.631;313,03;190.59;122,44;857.671;2008;4.500
Posina;193.028;Posina;260.048;409,52;105.54;303,98;67.020;2008;635.000
Pove del Grappa;714.616;Pove del Grappa;1.290.791;416,92;186.10;230,82;576.175;2008;3.096
Pozzoleone;423.600;Pozzoleone;778.226;277,05;126.25;150,8;354.626;2008;2.809
Quinto Vicentino;642.069;Quinto Vicentino;2.102.240;375,2;260.61;114,59;1.460.171;2008;5.603
Recoaro Terme;766.700;Recoaro Terme;2.089.347;301,97;191.16;110,81;1.322.647;2008;6.919
Roana;2.672.728;Roana;3.022.441;720,49;83.36;637,12;349.713;2008;4.195
Romano d'Ezzelino;2.477.324;Romano d'Ezzelino;5.889.275;401,81;232.79;169,02;3.411.951;2008;14.657
Rosa';2.046.000;Rosà;6.283.307;451,45;304.45;147;4.237.307;2008;13.918
Rossano Veneto;907.430;Rossano Veneto;2.626.487;337,46;220.87;116,59;1.719.057;2008;7.783
Rotzo;182.253;Rotzo;228.559;377,78;76.54;301,24;46.306;2008;605.000
Salcedo;227.200;Salcedo;336.886;326,44;106.28;220,16;109.686;2008;1.032
Sandrigo;1.332.103;Sandrigo;3.667.468;428,19;272.66;155,53;2.335.365;2008;8.565
San Germano dei Berici;138.939;San Germano dei Berici;296.321;255,67;135.79;119,88;157.382;2008;1.159
San Nazario;470.807;San Nazario;796.935;433,59;177.44;256,15;326.128;2008;1.838
San Pietro Mussolino;108.900;San Pietro Mussolino;315.187;195,89;128.21;67,68;206.287;2008;1.609
Santorso;647.990;Santorso;1.607.606;279,44;166.80;112,64;959.616;2008;5.753
San Vito di Leguzzano;496.870;San Vito di Leguzzano;1.294.752;356,39;219.62;136,77;797.882;2008;3.633
Sarcedo;374.180;Sarcedo;1.248.350;234,34;164.10;70,24;874.170;2008;5.327
Sarego;883.510;Sarego;2.068.649;324,44;185.88;138,57;1.185.139;2008;6.376
Schiavon;340.460;Schiavon;1.016.667;389,53;259.08;130,44;676.207;2008;2.610
Schio;7.151.900;Schio;17.774.954;451,39;269.77;181,62;10.623.054;2008;39.378
Solagna;501.408;Solagna;879.863;459,46;197.63;261,83;378.455;2008;1.915
Sossano;529.110;Sossano;1.038.318;235,45;115.47;119,98;509.208;2008;4.410
Sovizzo;819.160;Sovizzo;2.383.764;355,26;233.17;122,08;1.564.604;2008;6.710
Tezze sul Brenta;1.908.720;Tezze sul Brenta;5.693.281;460,81;306.32;154,49;3.784.561;2008;12.355
Thiene;3.785.710;Thiene;10.446.426;452,58;288.57;164,01;6.660.716;2008;23.082
Tonezza del Cimone;502.460;Tonezza del Cimone;595.052;990,1;154.06;836,04;92.592;2008;601.000
Torrebelvicino;720.760;Torrebelvicino;1.824.156;304,28;184.05;120,23;1.103.396;2008;5.995
Torri di Quartesolo;2.033.225;Torri di Quartesolo;5.812.311;492,82;320.42;172,39;3.779.086;2008;11.794
Trissino;1.106.170;Trissino;2.930.619;343,81;214.04;129,77;1.824.449;2008;8.524
Valdagno;3.227.520;Valdagno;9.641.558;358,1;238.23;119,88;6.414.038;2008;26.924
Valdastico;313.983;Valdastico;436.076;304,74;85.32;219,42;122.093;2008;1.431
Valli del Pasubio;820.320;Valli del Pasubio;1.106.620;320,02;82.79;237,22;286.300;2008;3.458
Valstagna;406.359;Valstagna;680.263;360,69;145.23;215,46;273.904;2008;1.886
Velo d'Astico;198.240;Velo d'Astico;611.217;254,25;171.79;82,46;412.977;2008;2.404
Vicenza;37.909.255;Vicenza;71.721.837;623,6;293.99;329,61;33.812.582;2008;115.012
Villaga;226.610;Villaga;522.124;262,77;148.72;114,05;295.514;2008;1.987
Villaverla;592.150;Villaverla;2.315.609;376,77;280.42;96,35;1.723.459;2008;6.146
Zane';831.660;Zanè;2.366.151;358,89;232.75;126,14;1.534.491;2008;6.593
Zermeghedo;194.060;Zermeghedo;497.497;359,2;219.09;140,12;303.437;2008;1.385
Zovencedo;89.780;Zovencedo;204.697;241,96;135.84;106,12;114.917;2008;846.000
Zugliano;696.810;Zugliano;1.971.637;292,88;189.37;103,51;1.274.827;2008;6.732
Agordo;1.447.401;Agordo;2.262.286;534,19;192.42;341,77;814.885;2008;4.235
Alano di Piave;652.310;Alano di Piave;1.078.574;355,5;140.50;215;426.264;2008;3.034
Alleghe;618.509;Alleghe;911.754;669,42;215.30;454,12;293.245;2008;1.362
Arsie';693.570;Arsiè;1.051.551;399,37;135.96;263,41;357.981;2008;2.633
Auronzo di Cadore;1.862.730;Auronzo di Cadore;2.991.650;834,72;314.99;519,73;1.128.920;2008;3.584
Belluno;6.212.020;Belluno;14.589.121;399,6;229.45;170,15;8.377.101;2008;36.509
Borca di Cadore;199.600;Borca di Cadore;542.454;663,96;419.65;244,31;342.854;2008;817.000
Calalzo di Cadore;871.230;Calalzo di Cadore;1.294.694;561,45;183.64;377,81;423.464;2008;2.306
Castellavazzo;375.600;Castellavazzo;564.729;340,61;114.07;226,54;189.129;2008;1.658
Cencenighe Agordino;504.699;Cencenighe Agordino;729.185;489,71;150.76;338,95;224.486;2008;1.489
Cesiomaggiore;663.320;Cesiomaggiore;1.173.516;282,64;122.88;159,76;510.196;2008;4.152
Chies d'Alpago;153.946;Chies d'Alpago;525.326;359,07;253.85;105,23;371.380;2008;1.463
Cibiana di Cadore;80.020;Cibiana di Cadore;200.400;454,42;272.97;181,45;120.380;2008;441.000
Colle Santa Lucia;94.958;Colle Santa Lucia;171.119;418,38;186.21;232,17;76.161;2008;409.000
Comelico Superiore;720.740;Comelico Superiore;1.151.402;486,23;181.87;304,37;430.662;2008;2.368
Cortina d'Ampezzo;3.167.580;Cortina d'Ampezzo;6.796.580;1.112,01;593.75;518,26;3.629.000;2008;6.112
Danta di Cadore;114.030;Danta di Cadore;257.731;503,38;280.67;222,71;143.701;2008;512.000
Domegge di Cadore;814.250;Domegge di Cadore;1.233.124;473,19;160.73;312,45;418.874;2008;2.606
Falcade;974.448;Falcade;1.512.692;716,24;254.85;461,39;538.244;2008;2.112
Farra d'Alpago;266.525;Farra d'Alpago;909.491;320,24;226.40;93,85;642.966;2008;2.840
Feltre;5.586.360;Feltre;9.545.811;461,42;191.39;270,03;3.959.451;2008;20.688
Fonzaso;804.920;Fonzaso;1.309.214;389,76;150.13;239,63;504.294;2008;3.359
Canale d'Agordo;403.697;Canale d'Agordo;636.286;526,29;192.38;333,91;232.589;2008;1.209
Forno di Zoldo;805.260;Forno di Zoldo;1.155.574;438,55;132.95;305,6;350.314;2008;2.635
Gosaldo;225.530;Gosaldo;332.410;433,39;139.35;294,04;106.880;2008;767.000
Lamon;634.360;Lamon;1.055.171;330,36;131.75;198,61;420.811;2008;3.194
La Valle Agordina;313.651;La Valle Agordina;556.128;472,9;206.19;266,71;242.477;2008;1.176
Lentiai;640.480;Lentiai;1.310.172;434,12;221.90;212,22;669.692;2008;3.018
Limana;852.640;Limana;1.959.421;397,53;224.54;172,98;1.106.781;2008;4.929
Livinallongo del Col di Lana;616.746;Livinallongo del Col di Lana;1.028.879;725,58;290.64;434,94;412.133;2008;1.418
Longarone;2.073.570;Longarone;3.605.897;885,32;376.22;509,1;1.532.327;2008;4.073
Lorenzago di Cadore;195.030;Lorenzago di Cadore;311.761;526,62;197.18;329,44;116.731;2008;592.000
Lozzo di Cadore;449.480;Lozzo di Cadore;648.108;412,54;126.43;286,11;198.628;2008;1.571
Mel;987.350;Mel;1.863.337;297,09;139.67;157,42;875.987;2008;6.272
Ospitale di Cadore;141.190;Ospitale di Cadore;200.745;576,85;171.14;405,72;59.555;2008;348.000
Pedavena;965.930;Pedavena;1.747.012;389,44;174.12;215,32;781.082;2008;4.486
Perarolo di Cadore;131.900;Perarolo di Cadore;199.683;541,15;183.69;357,45;67.783;2008;369.000
Pieve d'Alpago;250.623;Pieve d'Alpago;855.230;423,38;299.31;124,07;604.607;2008;2.020
Pieve di Cadore;1.731.430;Pieve di Cadore;2.301.550;565,77;140.15;425,62;570.120;2008;4.068
Ponte nelle Alpi;465.500;Ponte nelle Alpi;2.329.008;273,33;218.70;54,63;1.863.508;2008;8.521
Puos d'Alpago;228.499;Puos d'Alpago;779.733;316,96;224.08;92,89;551.234;2008;2.460
Quero;482.350;Quero;935.910;371,54;180.06;191,48;453.560;2008;2.519
Rivamonte Agordino;161.137;Rivamonte Agordino;255.601;373,14;137.90;235,24;94.464;2008;685.000
Rocca Pietore;630.402;Rocca Pietore;938.753;701,61;230.46;471,15;308.351;2008;1.338
San Gregorio nelle Alpi;279.120;San Gregorio nelle Alpi;536.395;327,47;157.07;170,4;257.275;2008;1.638
San Nicolo' di Comelico;59.230;San Nicolò di Comelico;158.401;385,4;241.29;144,11;99.171;2008;411.000
San Pietro di Cadore;278.220;San Pietro di Cadore;681.155;384,83;227.65;157,19;402.935;2008;1.770
Santa Giustina;1.213.830;Santa Giustina;2.368.088;348,5;169.87;178,64;1.154.258;2008;6.795
San Tomaso Agordino;256.783;San Tomaso Agordino;345.297;474,96;121.75;353,21;88.514;2008;727.000
Santo Stefano di Cadore;458.060;Santo Stefano di Cadore;1.185.918;437,93;268.78;169,15;727.858;2008;2.708
San Vito di Cadore;624.530;San Vito di Cadore;1.457.545;782,78;447.38;335,41;833.015;2008;1.862
Sappada;413.480;Sappada;892.005;677,3;363.34;313,96;478.525;2008;1.317
Sedico;2.175.810;Sedico;4.047.348;415,79;192.27;223,53;1.871.538;2008;9.734
Selva di Cadore;346.493;Selva di Cadore;563.689;1.088,20;419.30;668,91;217.196;2008;518.000
Seren del Grappa;508.530;Seren del Grappa;799.873;301,04;109.65;191,39;291.343;2008;2.657
Sospirolo;625.070;Sospirolo;1.150.521;354,66;161.98;192,68;525.451;2008;3.244
Soverzene;120.580;Soverzene;187.914;442,15;158.43;283,72;67.334;2008;425.000
Sovramonte;111.320;Sovramonte;431.529;273,64;203.05;70,59;320.209;2008;1.577
Taibon Agordino;448.435;Taibon Agordino;738.621;406,06;159.53;246,53;290.186;2008;1.819
Tambre;252.697;Tambre;862.306;597,58;422.46;175,12;609.609;2008;1.443
Trichiana;501.130;Trichiana;1.274.839;267,04;162.07;104,97;773.709;2008;4.774
Vallada Agordina;161.192;Vallada Agordina;249.267;480,28;169.70;310,58;88.075;2008;519.000
Valle di Cadore;264.370;Valle di Cadore;616.480;296,1;169.12;126,98;352.110;2008;2.082
Vas;239.710;Vas;412.459;480,72;201.34;279,38;172.749;2008;858.000
Vigo di Cadore;421.290;Vigo di Cadore;644.673;407,76;141.29;266,47;223.383;2008;1.581
Vodo Cadore;140.960;Vodo Cadore;441.572;491,18;334.38;156,8;300.612;2008;899.000
Voltago Agordino;239.909;Voltago Agordino;370.870;381,55;134.73;246,82;130.961;2008;972.000
Zoldo Alto;546.890;Zoldo Alto;795.787;740,96;231.75;509,21;248.897;2008;1.074
Zoppe' di Cadore;48.290;Zoppè di Cadore;70.130;264,64;82.42;182,23;21.840;2008;265.000
Altivole;738.619;Altivole;2.309.529;345,79;235.20;110,59;1.570.910;2008;6.679
Arcade;310.224;Arcade;1.598.937;369,01;297.42;71,6;1.288.713;2008;4.333
Asolo;964.564;Asolo;3.047.567;330,47;225.87;104,59;2.083.003;2008;9.222
Borso del Grappa;845.759;Borso del Grappa;2.111.815;366,89;219.95;146,94;1.266.056;2008;5.756
Breda di Piave;443.973;Breda di Piave;2.115.129;272,99;215.69;57,3;1.671.156;2008;7.748
Caerano di San Marco;993.310;Caerano di San Marco;3.068.909;386,46;261.38;125,09;2.075.599;2008;7.941
Cappella Maggiore;284.428;Cappella Maggiore;1.175.643;256,91;194.76;62,16;891.215;2008;4.576
Carbonera;696.159;Carbonera;3.421.926;311,23;247.91;63,32;2.725.767;2008;10.995
Casale sul Sile;802.104;Casale sul Sile;3.941.244;317,36;252.77;64,59;3.139.140;2008;12.419
Casier;819.737;Casier;3.822.727;345,39;271.32;74,06;3.002.990;2008;11.068
Castelcucco;244.791;Castelcucco;816.009;375,52;262.87;112,65;571.218;2008;2.173
Castelfranco Veneto;5.913.099;Castelfranco Veneto;16.724.549;497,89;321.86;176,03;10.811.450;2008;33.591
Castello di Godego;734.783;Castello di Godego;2.345.678;334,24;229.54;104,7;1.610.895;2008;7.018
Cavaso del Tomba;414.912;Cavaso del Tomba;1.129.812;381,05;241.11;139,94;714.900;2008;2.965
Cessalto;342.630;Cessalto;1.202.321;320,28;229.01;91,27;859.691;2008;3.754
Chiarano;272.360;Chiarano;1.287.492;345,82;272.67;73,16;1.015.132;2008;3.723
Cimadolmo;245.371;Cimadolmo;1.457.808;420,36;349.61;70,75;1.212.437;2008;3.468
Cison di Valmarino;317.710;Cison di Valmarino;1.055.974;392,99;274.75;118,24;738.264;2008;2.687
Codogne';431.920;Codognè;1.503.150;282,49;201.32;81,17;1.071.230;2008;5.321
Colle Umberto;425.955;Colle Umberto;1.591.822;310,36;227.31;83,05;1.165.867;2008;5.129
Conegliano;4.286.095;Conegliano;16.130.173;454,19;333.50;120,69;11.844.078;2008;35.514
Cordignano;601.840;Cordignano;1.964.113;277,18;192.25;84,93;1.362.273;2008;7.086
Cornuda;796.804;Cornuda;2.435.571;393,91;265.04;128,87;1.638.767;2008;6.183
Crespano del Grappa;703.770;Crespano del Grappa;1.907.903;400,23;252.60;147,63;1.204.133;2008;4.767
Crocetta del Montello;843.960;Crocetta del Montello;2.300.958;384,2;243.28;140,92;1.456.998;2008;5.989
Farra di Soligo;826.710;Farra di Soligo;3.023.963;343,2;249.38;93,83;2.197.253;2008;8.811
Follina;420.049;Follina;1.443.907;360,71;255.77;104,93;1.023.858;2008;4.003
Fontanelle;523.610;Fontanelle;1.821.496;310,52;221.26;89,26;1.297.886;2008;5.866
Fonte;719.795;Fonte;2.143.132;350,24;232.61;117,63;1.423.337;2008;6.119
Fregona;219.388;Fregona;769.766;241,23;172.48;68,75;550.378;2008;3.191
Gaiarine;469.210;Gaiarine;1.879.415;301,82;226.47;75,35;1.410.205;2008;6.227
Giavera del Montello;391.035;Giavera del Montello;1.610.535;312,18;236.38;75,8;1.219.500;2008;5.159
Godega di Sant'Urbano;539.375;Godega di Sant'Urbano;1.822.949;298,06;209.87;88,19;1.283.574;2008;6.116
Gorgo al Monticano;317.920;Gorgo al Monticano;1.274.603;307,58;230.86;76,72;956.683;2008;4.144
Istrana;1.213.743;Istrana;3.260.145;360,52;226.30;134,22;2.046.402;2008;9.043
Loria;956.453;Loria;2.579.073;289,36;182.05;107,31;1.622.620;2008;8.913
Mansue';414.340;Mansuè;1.346.269;273,08;189.03;84,04;931.929;2008;4.930
Mareno di Piave;789.330;Mareno di Piave;2.782.113;294,78;211.14;83,63;1.992.783;2008;9.438
Maser;539.362;Maser;1.824.271;371,32;261.53;109,78;1.284.909;2008;4.913
Maserada sul Piave;647.691;Maserada sul Piave;3.048.364;329,05;259.14;69,91;2.400.673;2008;9.264
Meduna di Livenza;243.040;Meduna di Livenza;750.108;254,19;171.83;82,36;507.068;2008;2.951
Miane;212.921;Miane;881.467;243,5;184.68;58,82;668.546;2008;3.620
Mogliano Veneto;4.554.420;Mogliano Veneto;13.119.458;466,42;304.50;161,92;8.565.038;2008;28.128
Monastier di Treviso;430.838;Monastier di Treviso;1.946.865;477,17;371.58;105,6;1.516.027;2008;4.080
Monfumo;128.347;Monfumo;415.676;284,13;196.40;87,73;287.329;2008;1.463
Montebelluna;3.892.772;Montebelluna;14.353.784;465,47;339.24;126,24;10.461.012;2008;30.837
Morgano;258.367;Morgano;1.261.081;303,95;241.68;62,27;1.002.714;2008;4.149
Moriago della Battaglia;168.685;Moriago della Battaglia;776.625;273,07;213.76;59,31;607.940;2008;2.844
Motta di Livenza;1.221.180;Motta di Livenza;4.808.924;449,89;335.65;114,25;3.587.744;2008;10.689
Nervesa della Battaglia;566.927;Nervesa della Battaglia;2.146.330;306,53;225.56;80,97;1.579.403;2008;7.002
Oderzo;1.995.280;Oderzo;9.206.270;460,54;360.73;99,81;7.210.990;2008;19.990
Ormelle;391.810;Ormelle;1.264.359;282,22;194.77;87,46;872.549;2008;4.480
Orsago;254.670;Orsago;1.163.302;296,99;231.97;65,02;908.632;2008;3.917
Paderno del Grappa;295.549;Paderno del Grappa;844.345;392,9;255.37;137,53;548.796;2008;2.149
Paese;1.695.493;Paese;7.048.499;326;247.58;78,42;5.353.006;2008;21.621
Pederobba;977.364;Pederobba;3.083.827;413,05;282.14;130,91;2.106.463;2008;7.466
Pieve di Soligo;1.171.220;Pieve di Soligo;4.637.159;383,36;286.54;96,83;3.465.939;2008;12.096
Ponte di Piave;690.930;Ponte di Piave;2.803.218;345,52;260.36;85,16;2.112.288;2008;8.113
Ponzano Veneto;918.274;Ponzano Veneto;3.805.152;316,78;240.33;76,45;2.886.878;2008;12.012
Portobuffole';56.280;Portobuffolè;301.042;368,47;299.59;68,89;244.762;2008;817.000
Possagno;310.373;Possagno;952.309;421,38;284.04;137,33;641.936;2008;2.260
Povegliano;310.410;Povegliano;1.465.033;291,49;229.73;61,76;1.154.623;2008;5.026
Preganziol;1.018.908;Preganziol;5.841.425;346,3;285.90;60,4;4.822.517;2008;16.868
Quinto di Treviso;802.611;Quinto di Treviso;3.938.350;403,27;321.09;82,18;3.135.739;2008;9.766
Refrontolo;151.215;Refrontolo;520.757;289,47;205.42;84,06;369.542;2008;1.799
Resana;1.170.263;Resana;3.210.145;351,8;223.55;128,25;2.039.882;2008;9.125
Revine Lago;223.783;Revine Lago;630.556;280,37;180.87;99,5;406.773;2008;2.249
Riese Pio X;1.358.406;Riese Pio X;3.717.522;343,55;218.01;125,53;2.359.116;2008;10.821
Roncade;878.231;Roncade;4.754.735;341,8;278.66;63,13;3.876.504;2008;13.911
Salgareda;447.140;Salgareda;2.169.276;328,93;261.13;67,8;1.722.136;2008;6.595
San Biagio di Callalta;870.892;San Biagio di Callalta;4.412.587;337,33;270.75;66,58;3.541.695;2008;13.081
San Fior;521.840;San Fior;2.102.854;308,74;232.13;76,62;1.581.014;2008;6.811
San Pietro di Feletto;412.495;San Pietro di Feletto;1.555.424;291,88;214.47;77,41;1.142.929;2008;5.329
San Polo di Piave;393.759;San Polo di Piave;1.706.724;340,94;262.28;78,66;1.312.965;2008;5.006
Santa Lucia di Piave;737.160;Santa Lucia di Piave;2.979.724;338,37;254.66;83,71;2.242.564;2008;8.806
San Vendemiano;1.130.690;San Vendemiano;4.011.091;405,28;291.04;114,25;2.880.401;2008;9.897
San Zenone degli Ezzelini;744.486;San Zenone degli Ezzelini;2.257.769;305,81;204.97;100,84;1.513.283;2008;7.383
Sarmede;195.763;Sarmede;726.657;226,02;165.13;60,89;530.894;2008;3.215
Segusino;177.420;Segusino;596.879;294,9;207.24;87,66;419.459;2008;2.024
Sernaglia della Battaglia;343.930;Sernaglia della Battaglia;2.204.747;342,41;288.99;53,41;1.860.817;2008;6.439
Silea;1.022.687;Silea;4.196.211;418,95;316.85;102,11;3.173.524;2008;10.016
Spresiano;1.046.162;Spresiano;4.247.268;375,73;283.18;92,55;3.201.106;2008;11.304
Susegana;1.247.035;Susegana;4.696.109;389,43;286.02;103,41;3.449.074;2008;12.059
Tarzo;504.267;Tarzo;1.322.518;286,26;177.11;109,15;818.251;2008;4.620
Trevignano;1.049.112;Trevignano;3.275.357;314,21;213.57;100,64;2.226.245;2008;10.424
Treviso;25.174.500;Treviso;50.244.365;611,2;304.96;306,24;25.069.865;2008;82.206
Valdobbiadene;1.165.975;Valdobbiadene;3.957.696;365,61;257.90;107,71;2.791.721;2008;10.825
Vazzola;702.630;Vazzola;1.914.503;272,84;172.71;100,13;1.211.873;2008;7.017
Vedelago;2.026.954;Vedelago;5.351.714;325,23;202.05;123,18;3.324.760;2008;16.455
Vidor;290.440;Vidor;1.215.033;320,08;243.57;76,51;924.593;2008;3.796
Villorba;2.193.602;Villorba;7.732.801;428,93;307.26;121,68;5.539.199;2008;18.028
Vittorio Veneto;4.927.380;Vittorio Veneto;12.662.865;433,16;264.61;168,55;7.735.485;2008;29.234
Volpago del Montello;1.068.669;Volpago del Montello;3.445.905;348,49;240.42;108,08;2.377.236;2008;9.888
Zenson di Piave;104.176;Zenson di Piave;548.981;296,75;240.44;56,31;444.805;2008;1.850
Zero Branco;710.685;Zero Branco;2.900.568;273,41;206.42;66,99;2.189.883;2008;10.609
Annone Veneto;331.390;Annone Veneto;1.315.807;333,45;249.47;83,98;984.417;2008;3.946
Campagna Lupia;1.022.800;Campagna Lupia;2.873.303;415,88;267.84;148,04;1.850.503;2008;6.909
Campolongo Maggiore;1.547.110;Campolongo Maggiore;3.883.272;384,18;231.12;153,06;2.336.162;2008;10.108
Camponogara;1.880.623;Camponogara;4.516.718;358,56;209.26;149,29;2.636.095;2008;12.597
Caorle;12.241.390;Caorle;18.086.741;1.508,86;487.64;1.021,22;5.845.351;2008;11.987
Cavarzere;2.301.500;Cavarzere;6.115.388;407,56;254.17;153,38;3.813.888;2008;15.005
Ceggia;435.110;Ceggia;2.210.134;363,03;291.56;71,47;1.775.024;2008;6.088
Chioggia;15.379.760;Chioggia;27.717.731;544,44;242.34;302,09;12.337.971;2008;50.911
Cinto Caomaggiore;259.655;Cinto Caomaggiore;1.134.825;345,88;266.74;79,14;875.170;2008;3.281
Cona;473.820;Cona;1.412.690;439,54;292.12;147,42;938.870;2008;3.214
Concordia Sagittaria;1.082.685;Concordia Sagittaria;4.389.274;407,96;307.33;100,63;3.306.589;2008;10.759
Dolo;4.459.236;Dolo;8.834.089;588,9;291.64;297,26;4.374.853;2008;15.001
Eraclea;3.053.200;Eraclea;7.725.466;604,07;365.33;238,74;4.672.266;2008;12.789
Fiesso d'Artico;1.175.142;Fiesso d'Artico;2.916.532;401,56;239.76;161,8;1.741.390;2008;7.263
Fossalta di Piave;580.300;Fossalta di Piave;1.910.733;446,22;310.70;135,52;1.330.433;2008;4.282
Fossalta di Portogruaro;836.815;Fossalta di Portogruaro;3.141.695;521,53;382.62;138,91;2.304.880;2008;6.024
Fosso';1.178.580;Fossò;3.084.163;465,11;287.37;177,74;1.905.583;2008;6.631
Gruaro;264.915;Gruaro;1.164.730;418,07;322.98;95,09;899.815;2008;2.786
Iesolo;22.414.705;Jesolo;33.705.240;1.354,98;453.89;901,09;11.290.535;2008;24.875
Marcon;4.887.200;Marcon;9.684.682;651,9;322.93;328,97;4.797.482;2008;14.856
Martellago;5.506.220;Martellago;10.971.716;521,67;259.87;261,8;5.465.496;2008;21.032
Meolo;1.653.220;Meolo;3.442.696;534,41;277.78;256,63;1.789.476;2008;6.442
Mira;12.675.080;Mira;21.242.134;547,65;220.87;326,78;8.567.054;2008;38.788
Mirano;9.456.380;Mirano;15.705.078;588,93;234.32;354,61;6.248.698;2008;26.667
Musile di Piave;1.488.780;Musile di Piave;4.814.662;422,52;291.87;130,65;3.325.882;2008;11.395
Noale;4.842.600;Noale;8.666.402;551,33;243.26;308,07;3.823.802;2008;15.719
Noventa di Piave;1.020.240;Noventa di Piave;3.542.537;536,83;382.22;154,61;2.522.297;2008;6.599
